"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Bhaskaran et al. (2011)","Myocardial infarction","y","CO","13-18",0.9934883721,0.9863565891,1,NA,NA,0.1,"mg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","CO","19-24",0.9968992248,0.9910077519,1.002790698,NA,NA,0.1,"mg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","O3","1-6",0.9991666667,0.9886666667,1.009666667,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","O3","7-12",1.002333333,0.9895,1.015166667,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","O3","13-18",0.9931666667,0.9808333333,1.005666667,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","O3","19-24",0.9986666667,0.9878333333,1.0095,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","O3","1-6",0.9978333333,0.9905,1.0045,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","O3","7-12",1.005333333,0.9966666667,1.014166667,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","O3","13-18",0.9945,0.986,1.003333333,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","O3","19-24",0.9993333333,0.992,1.006666667,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","NO2","1-6",1.002037037,0.9851851852,1.018888889,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","NO2","7-12",0.9953703704,0.9761111111,1.015,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","NO2","13-18",1.004074074,0.9838888889,1.024259259,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","NO2","19-24",1.005,0.9874074074,1.022962963,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","warm"
"Bhaskaran et al. (2011)","Myocardial infarction","y","NO2","1-6",1.012407407,1.004444444,1.020185185,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","NO2","7-12",0.9898148148,0.9803703704,0.9990740741,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","NO2","13-18",0.9983333333,0.9887037037,1.007962963,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
"Bhaskaran et al. (2011)","Myocardial infarction","y","NO2","19-24",0.9998148148,0.9916666667,1.007962963,NA,NA,10,"μg/m3","UK","Europe","MINAP","4 (2003-2006)",NA,"OR","Conditional logistic regression","General","HA","cold"
