fa_year,disease,general,exposure,mean_hourly,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,unit_original,continent,country,cohort,fu,n,population,incidence,male_pct,mean_temp,Molecular.weight,Type.of.ES,Statistical.method,Population,Outcome,stratification
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,NO2,4,13-24,1.525,0.852,2.729,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,O3,17,1,1.34,0.811,2.216,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,O3,17,2-6,1.039,0.639,1.689,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,O3,17,7-12,1.15,0.79,1.675,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,O3,17,13-24,2.249,1.07,4.729,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,PM10,12.3,1,1.225,0.972,1.545,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,PM10,12.3,2-6,0.885,0.613,1.276,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,PM10,12.3,7-12,1.014,0.714,1.441,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,PM10,12.3,13-24,1.272,0.788,2.052,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,PM2.5,5.2,1,1.188,0.985,1.432,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,PM2.5,5.2,2-6,1.074,0.824,1.4,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,PM2.5,5.2,7-12,1.159,0.859,1.563,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute obstructive laryngitis and epiglottitis,fixed-effects,PM2.5,5.2,13-24,1.319,0.942,1.847,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3864,444412,0.002898211569,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,NO2,4,1,0.429,0.179,1.03,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,NO2,4,2-6,0.331,0.103,1.068,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,NO2,4,7-12,0.489,0.11,2.18,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,NO2,4,13-24,1.723,0.286,10.382,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,O3,17,1,2.141,0.737,6.223,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,O3,17,2-6,2.691,0.82,8.83,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,O3,17,7-12,0.463,0.085,2.526,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,O3,17,13-24,4.048,0.497,32.962,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,PM10,12.3,1,0.887,0.392,2.006,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,PM10,12.3,2-6,0.649,0.214,1.963,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,PM10,12.3,7-12,0.652,0.18,2.356,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,PM10,12.3,13-24,0.456,0.074,2.818,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,PM2.5,5.2,1,0.701,0.335,1.464,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,PM2.5,5.2,2-6,0.518,0.185,1.449,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,PM2.5,5.2,7-12,0.291,0.08,1.06,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute pharyngitis,fixed-effects,PM2.5,5.2,13-24,0.817,0.201,3.319,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),326,444412,0.0002445178498,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,NO2,4,1,1.352,0.917,1.992,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,NO2,4,2-6,1.094,0.671,1.782,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,NO2,4,7-12,0.786,0.385,1.605,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,NO2,4,13-24,0.889,0.431,1.833,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,O3,17,1,1.027,0.65,1.623,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,O3,17,2-6,0.868,0.504,1.496,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,O3,17,7-12,1.122,0.635,1.979,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,O3,17,13-24,0.816,0.348,1.914,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,PM10,12.3,1,1.502,1.049,2.15,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,PM10,12.3,2-6,1.442,0.896,2.319,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,PM10,12.3,7-12,0.708,0.395,1.27,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,PM10,12.3,13-24,1.315,0.576,3,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,PM2.5,5.2,1,1.321,0.978,1.783,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,PM2.5,5.2,2-6,1.204,0.785,1.846,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,PM2.5,5.2,7-12,0.991,0.631,1.557,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute tonsillitis,fixed-effects,PM2.5,5.2,13-24,2.015,1.199,3.387,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1606,444412,0.001204587935,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,NO2,4,1,1.184,0.978,1.434,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,NO2,4,2-6,0.962,0.751,1.231,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,NO2,4,7-12,0.886,0.647,1.215,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,NO2,4,13-24,1.018,0.716,1.447,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,O3,17,1,1.325,1.045,1.68,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,O3,17,2-6,1.574,1.188,2.086,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,O3,17,7-12,1.039,0.763,1.413,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,O3,17,13-24,1.233,0.723,2.101,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,PM10,12.3,1,1.125,0.941,1.343,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,PM10,12.3,2-6,1.038,0.8,1.346,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,PM10,12.3,7-12,1.265,0.963,1.662,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,PM10,12.3,13-24,0.842,0.574,1.236,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,PM2.5,5.2,1,1.104,0.949,1.285,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,PM2.5,5.2,2-6,1.116,0.895,1.393,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,PM2.5,5.2,7-12,1.343,1.073,1.68,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute upper respiratory infections of multiple and unspecified sites,fixed-effects,PM2.5,5.2,13-24,1.05,0.809,1.362,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5295,444412,0.003971539922,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Respiratory,y (combined),NO2,4,1,NA,NA,NA,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),NO2,4,2-6,NA,NA,NA,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),NO2,4,7-12,NA,NA,NA,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),NO2,4,13-24,NA,NA,NA,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),O3,17,1,NA,NA,NA,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),O3,17,2-6,NA,NA,NA,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),O3,17,7-12,NA,NA,NA,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),O3,17,13-24,NA,NA,NA,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),PM10,12.3,1,NA,NA,NA,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),PM10,12.3,2-6,NA,NA,NA,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),PM10,12.3,7-12,NA,NA,NA,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),PM10,12.3,13-24,NA,NA,NA,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),PM2.5,5.2,1,NA,NA,NA,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),PM2.5,5.2,2-6,NA,NA,NA,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),PM2.5,5.2,7-12,NA,NA,NA,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Respiratory,y (combined),PM2.5,5.2,13-24,NA,NA,NA,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,NO2,4,1,0.979,0.621,1.541,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,NO2,4,2-6,0.952,0.441,2.056,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,NO2,4,7-12,1.229,0.434,3.482,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,NO2,4,13-24,0.451,0.148,1.373,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,O3,17,1,1.178,0.839,1.655,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,O3,17,2-6,1.178,0.789,1.759,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,O3,17,7-12,1.152,0.778,1.707,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,O3,17,13-24,0.668,0.367,1.217,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM10,12.3,1,0.971,0.769,1.226,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM10,12.3,2-6,1.088,0.823,1.439,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM10,12.3,7-12,1.036,0.774,1.387,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM10,12.3,13-24,0.931,0.651,1.331,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM2.5,5.2,1,1.12,0.867,1.446,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM2.5,5.2,2-6,0.999,0.728,1.371,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM2.5,5.2,7-12,0.957,0.681,1.345,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM2.5,5.2,13-24,0.943,0.574,1.55,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,warm
