fa_year,disease,general,exposure,mean_hourly,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,unit_original,continent,country,cohort,fu,n,population,incidence,male_pct,mean_temp,Molecular.weight,Type.of.ES,Statistical.method,Population,Outcome,stratification
Cheng et al. (2021b),Respiratory,y (combined),PM10,12.3,13-24,NA,NA,NA,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Respiratory,y (combined),PM2.5,5.2,1,NA,NA,NA,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Respiratory,y (combined),PM2.5,5.2,2-6,NA,NA,NA,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Respiratory,y (combined),PM2.5,5.2,7-12,NA,NA,NA,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Respiratory,y (combined),PM2.5,5.2,13-24,NA,NA,NA,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),22492,444412,0.01687023153,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,NO2,4,1,1.012,0.801,1.28,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,NO2,4,2-6,0.856,0.627,1.168,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,NO2,4,7-12,0.785,0.531,1.161,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,NO2,4,13-24,0.817,0.519,1.286,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,O3,17,1,0.728,0.529,1.002,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,O3,17,2-6,0.727,0.495,1.069,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,O3,17,7-12,0.759,0.479,1.201,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,O3,17,13-24,1.447,0.746,2.806,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM10,12.3,1,0.931,0.743,1.166,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM10,12.3,2-6,0.888,0.627,1.259,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM10,12.3,7-12,0.81,0.559,1.173,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM10,12.3,13-24,0.775,0.468,1.285,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchiolitis,fixed-effects,PM2.5,5.2,1,0.917,0.758,1.11,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),3736,444412,0.002802204561,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
