"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","7-12",1.1023,0.9337,1.3615,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","adult"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","2-6",1.0121,0.8592,1.1923,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","adult"
"Cheng et al. (2021a)","Acute myocardial infarction","y","NO2","1",1.0461,0.9201,1.1922,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","adult"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","13-24",0.9494,0.8625,1.0453,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","adult"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","7-12",1.024,0.9024,1.1127,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","adult"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","2-6",0.9914,0.9034,1.0763,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","adult"
"Cheng et al. (2021a)","Acute myocardial infarction","y","O3","1",0.9974,0.9124,1.0732,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","adult"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","13-24",1.1177,1.0118,1.2947,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","7-12",1.1324,1.0057,1.2617,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","2-6",1.1054,1.0115,1.2039,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM10","1",1.0806,1.0071,1.1595,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","13-24",1.1817,1.0083,1.4081,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","7-12",1.1849,1.0085,1.3982,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","2-6",1.1923,1.0296,1.3806,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
"Cheng et al. (2021a)","Acute myocardial infarction","y","PM2.5","1",1.0909,1.0067,1.2014,NA,NA,10,"μg/m3","Australia","Australia","Queensland Emergency Department Information System and Emergency Data Collection","3 (2013-2015)",NA,"OR","Conditional logistic regression","General","EDV","elderly"
