fa_year,disease,general,exposure,mean_hourly,unit_original,mean_temp,mean_adjusted,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,country,continent,cohort,fu,n,male_pct,Outcome,Type.of.ES,Statistical.method,Population,RoB,Note,log.EE,log.SE,alog.EE,alog.SE
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,0,1.0135,0.9898,1.0377,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.01340968691,0.01205589339,0.02198309329,0.01976375966
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,1,1.0121,0.9877,1.0371,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.01202738021,0.01245016012,0.01971701674,0.02041009856
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,2,1.0013,0.9764,1.0268,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.001299155732,0.0128393139,0.002129763494,0.02104805557
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,0-12,1.0184,0.9895,1.0482,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.01823276826,0.01470151054,0.02988978403,0.02410083695
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,0-2,1.013,0.9885,1.0381,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.01291622527,0.01248947847,0.02117413978,0.02047455486
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,0-24,1.0303,0.9968,1.065,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.02985002197,0.01688263523,0.04893446224,0.0276764512
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,0-3,1.0094,0.9842,1.0353,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.009356094924,0.01291259958,0.01533786053,0.02116819603
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,0-4,1.0093,0.9834,1.0359,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.009257021263,0.01326784135,0.01517544469,0.02175055959
Dennekamp et al. (2015),OHCA,y,PM2.5,7.6,μg/m3,NA,7.6,0-8,1.0174,0.9896,1.0459,NA,NA,6.1,Australia,Australia,Victorian Ambulance Cardiac Arrest Registry,2 (2006-2007),2046,0.64,EAC,OR,Conditional logistic regression,General,High,,0.01725035341,0.0141153614,0.02827926788,0.02313993672
Ensor et al. (2013),OHCA,y,CO,0.282,ppm,22.9833,0.3,0-24,1.018,0.991,1.046,NA,NA,0.141,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.01783991813,0.01377910977,0.0119047564,0.009194938233
Ensor et al. (2013),OHCA,y,NO2,9.16,ppb,22.9833,15.99,0,0.999,0.994,1.004,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,-0.001000500334,0.002553595305,-0.0009550210761,0.002437517764
Ensor et al. (2013),OHCA,y,NO2,9.16,ppb,22.9833,15.99,1,1,0.995,1.005,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0,0.002551041667,0,0.002435080206
Ensor et al. (2013),OHCA,y,NO2,9.16,ppb,22.9833,15.99,2,1,0.995,1.005,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0,0.002551041667,0,0.002435080206
Ensor et al. (2013),OHCA,y,NO2,9.16,ppb,22.9833,15.99,3,1.001,0.997,1.006,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.0009995003331,0.002292495076,0.0009540665322,0.002188286241
Ensor et al. (2013),OHCA,y,NO2,9.16,ppb,22.9833,15.99,4,1.002,0.997,1.007,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.001998002663,0.002545949683,0.001907180427,0.002430219685
Ensor et al. (2013),OHCA,y,NO2,9.16,ppb,22.9833,15.99,0-24,1.009,0.97,1.05,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.008959741371,0.02021667644,0.008552462762,0.01929769681
Ensor et al. (2013),OHCA,y,O3,25.52,ppb,22.9833,46.5,0,1.037,0.999,1.077,NA,NA,20,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.03633192925,0.01917854554,0.009970616839,0.005263192268
Ensor et al. (2013),OHCA,y,O3,25.52,ppb,22.9833,46.5,1,1.042,1.004,1.082,NA,NA,20,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.04114194333,0.01908652019,0.01129063503,0.005237937637
Ensor et al. (2013),OHCA,y,O3,25.52,ppb,22.9833,46.5,2,1.046,1.008,1.087,NA,NA,20,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.04497336564,0.01924832615,0.01234209705,0.005282342247
Ensor et al. (2013),OHCA,y,O3,25.52,ppb,22.9833,46.5,3,1.04,1.002,1.08,NA,NA,20,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.03922071315,0.0191232241,0.01076338942,0.005248010336
Ensor et al. (2013),OHCA,y,O3,25.52,ppb,22.9833,46.5,4,1.034,0.995,1.074,NA,NA,20,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.03343477609,0.01949044334,0.009175547469,0.005348786773
Ensor et al. (2013),OHCA,y,O3,25.52,ppb,22.9833,46.5,0-24,1.034,1.004,1.072,NA,NA,20,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.03343477609,0.0167178677,0.009175547469,0.004587905367
Ensor et al. (2013),OHCA,y,PM2.5,11.42,μg/m3,NA,11.42,0,1.009,0.986,1.034,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.008959741371,0.012125944,0.01493290229,0.02020990666
Ensor et al. (2013),OHCA,y,PM2.5,11.42,μg/m3,NA,11.42,1,1.011,0.987,1.035,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.01093994004,0.01211394548,0.0182332334,0.02018990913
Ensor et al. (2013),OHCA,y,PM2.5,11.42,μg/m3,NA,11.42,2,1.011,0.988,1.035,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.01093994004,0.01185561427,0.0182332334,0.01975935712
Ensor et al. (2013),OHCA,y,PM2.5,11.42,μg/m3,NA,11.42,3,1.003,0.98,1.027,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.00299550898,0.01195016282,0.004992514966,0.01991693804
Ensor et al. (2013),OHCA,y,PM2.5,11.42,μg/m3,NA,11.42,4,1.009,0.985,1.033,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.008959741371,0.01213796631,0.01493290229,0.02022994386
Ensor et al. (2013),OHCA,y,PM2.5,11.42,μg/m3,NA,11.42,0-24,1.027,0.997,1.058,NA,NA,6,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.02664193095,0.0151491945,0.04440321824,0.02524865751
Ensor et al. (2013),OHCA,y,SO2,1.97,ppb,22.9833,4.79,0,1.004,0.998,1.01,NA,NA,2,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.00399202127,0.003049064674,0.008216515469,0.006275689775
Ensor et al. (2013),OHCA,y,SO2,1.97,ppb,22.9833,4.79,1,1,0.993,1.008,NA,NA,2,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0,0.003824689945,0,0.007872108383
Ensor et al. (2013),OHCA,y,SO2,1.97,ppb,22.9833,4.79,2,1.002,0.995,1.009,NA,NA,2,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.001998002663,0.003564357958,0.004112357795,0.007336284133
Ensor et al. (2013),OHCA,y,SO2,1.97,ppb,22.9833,4.79,3,1.002,0.994,1.009,NA,NA,2,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0.001998002663,0.003820870841,0.004112357795,0.007864247771
Ensor et al. (2013),OHCA,y,SO2,1.97,ppb,22.9833,4.79,4,1,0.992,1.007,NA,NA,2,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,0,0.003828516692,0,0.007879984725
Ensor et al. (2013),OHCA,y,SO2,1.97,ppb,22.9833,4.79,0-24,0.998,0.979,1.017,NA,NA,2,USA,America,Houston Fire Department,8 (2004-2011),11677,0.59,EAC,OR,Conditional logistic regression,General,Low,,-0.002002002671,0.009714477938,-0.004120590749,0.01999467259
Evans et al. (2017),STEMI,y,BC,0.58,μg/m3,NA,0.58,1,1,0.85,1.17,NA,NA,0.531,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),336,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0,0.08151088732,0,0.01535044959
Evans et al. (2017),STEMI,y,BC,0.58,μg/m3,NA,0.58,1-12,1.02,0.85,1.22,NA,NA,0.477,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),337,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.0198026273,0.09218617047,0.004151494192,0.01932624119
Evans et al. (2017),STEMI,y,BC,0.58,μg/m3,NA,0.58,1-24,1.07,0.88,1.3,NA,NA,0.435,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),337,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.06765864847,0.09954021326,0.01555371229,0.02288280765
Evans et al. (2017),STEMI,y,CO,0.35,ppm,11.16667,0.4,1,1.14,0.92,1.4,NA,NA,0.223,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),336,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.1310282624,0.1071055728,0.05096089457,0.04165662969
Evans et al. (2017),STEMI,y,CO,0.35,ppm,11.16667,0.4,1-12,1.19,0.93,1.51,NA,NA,0.23,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),334,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.1739533071,0.1236429448,0.06559666772,0.04662495529
Evans et al. (2017),STEMI,y,CO,0.35,ppm,11.16667,0.4,1-24,1.15,0.9,1.48,NA,NA,0.221,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),339,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.1397619424,0.1268884192,0.05484961434,0.0497973965
Evans et al. (2017),STEMI,y,NO2,8.11,ppb,11.16667,15.36,1,0.86,0.62,1.2,NA,NA,6.9,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),65,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,-0.1508228897,0.1684585096,-0.1153972052,0.1288905234
Evans et al. (2017),STEMI,y,NO2,8.11,ppb,11.16667,15.36,1-12,1.01,0.72,1.42,NA,NA,5.67,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),58,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.009950330853,0.1732553415,0.00926470481,0.1613172084
Evans et al. (2017),STEMI,y,NO2,8.11,ppb,11.16667,15.36,1-24,0.97,0.68,1.36,NA,NA,4.76,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),61,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,-0.03045920748,0.1768232603,-0.03378226548,0.1961144369
Evans et al. (2017),STEMI,y,O3,27.4,ppb,11.16667,54.16,1,1.27,1,1.63,NA,NA,19.9,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),345,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.2390169005,0.1246377589,0.0607672037,0.03168766756
Evans et al. (2017),STEMI,y,O3,27.4,ppb,11.16667,54.16,1-12,1.2,0.95,1.51,NA,NA,15.7,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),342,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.1823215568,0.118215037,0.05875327587,0.03809489567
Evans et al. (2017),STEMI,y,O3,27.4,ppb,11.16667,54.16,1-24,1.14,0.91,1.44,NA,NA,13.5,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),348,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.1310282624,0.1170800492,0.04910491137,0.04387759813
Evans et al. (2017),STEMI,y,PM2.5,7.62,μg/m3,NA,7.62,1,1.17,0.99,1.39,NA,NA,7.1,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),334,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.1570037488,0.08656991913,0.2211320406,0.1219294636
Evans et al. (2017),STEMI,y,PM2.5,7.62,μg/m3,NA,7.62,1-12,1.11,0.93,1.33,NA,NA,6.37,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),330,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.1043600153,0.09126266201,0.1638304793,0.1432694851
Evans et al. (2017),STEMI,y,PM2.5,7.62,μg/m3,NA,7.62,1-24,1.17,0.96,1.41,NA,NA,6.03,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),327,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,0.1570037488,0.09806420891,0.2603710594,0.1626272121
Evans et al. (2017),STEMI,y,SO2,3,ppb,11.16667,7.91,1,0.94,0.9,0.99,NA,NA,2,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),347,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,-0.06187540372,0.02431382138,-0.1173932244,0.04612944269
Evans et al. (2017),STEMI,y,SO2,3,ppb,11.16667,7.91,1-12,0.95,0.89,1.01,NA,NA,2,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),343,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,-0.05129329439,0.03226636406,-0.09731629789,0.06121741904
Evans et al. (2017),STEMI,y,SO2,3,ppb,11.16667,7.91,1-24,0.95,0.89,1.02,NA,NA,2,USA,America,URMC Cardiac Catheterization Laboratory,6 (2007-2012),349,0.68,EHA,OR,Conditional logistic regression,General,Moderate,,-0.05129329439,0.03477970499,-0.09731629789,0.06598585978
Fang et al. (2024),Acute ischemic stroke,y,NO2,39.7,μg/m3,NA,39.7,0-1,1.0168,1.006,1.0276,NA,NA,26.6,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.01666044089,0.005419365963,0.006263323644,0.002037355625
Fang et al. (2024),Acute ischemic stroke,y,NO2,39.7,μg/m3,NA,39.7,0-3,1.0192,1.0082,1.0302,NA,NA,26.6,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.01901800584,0.005506733542,0.007149626254,0.00207020058
Fang et al. (2024),Acute ischemic stroke,y,NO2,39.7,μg/m3,NA,39.7,0-8,1.0194,1.0081,1.0306,NA,NA,26.6,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.01921421892,0.005631067815,0.007223390573,0.002116942788
Fang et al. (2024),Acute ischemic stroke,y,NO2,39.7,μg/m3,NA,39.7,0-12,1.0203,1.009,1.0321,NA,NA,26.6,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.0200967017,0.005774443933,0.007555151015,0.002170843584
Fang et al. (2024),Acute ischemic stroke,y,NO2,39.7,μg/m3,NA,39.7,0-24,1.0155,1.0024,1.0285,NA,NA,26.6,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.01538110204,0.006557220794,0.005782369187,0.002465120599
Fang et al. (2024),Acute ischemic stroke,y,O3,69.9,μg/m3,NA,69.9,0-1,0.9972,0.9845,1.0096,NA,NA,50.8,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,-0.002803927333,0.006422345334,-0.0005519541994,0.001264241207
Fang et al. (2024),Acute ischemic stroke,y,O3,69.9,μg/m3,NA,69.9,0-3,0.9904,0.9774,1.0038,NA,NA,50.8,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,-0.009646377052,0.006799003159,-0.00189889312,0.001338386449
Fang et al. (2024),Acute ischemic stroke,y,O3,69.9,μg/m3,NA,69.9,0-8,0.9765,0.9621,0.9908,NA,NA,50.8,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,-0.02378052867,0.007498546492,-0.00468120643,0.001476091829
Fang et al. (2024),Acute ischemic stroke,y,O3,69.9,μg/m3,NA,69.9,0-12,0.9678,0.9522,0.9828,NA,NA,50.8,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,-0.03272982462,0.008069016298,-0.006442878863,0.001588389035
Fang et al. (2024),Acute ischemic stroke,y,O3,69.9,μg/m3,NA,69.9,0-24,0.9616,0.9442,0.9788,NA,NA,50.8,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,-0.0391567152,0.009180949861,-0.007708014803,0.001807273595
Fang et al. (2024),Acute ischemic stroke,y,PM10,47.3,μg/m3,NA,47.3,0-1,1.0098,1.0021,1.0176,NA,NA,33.1,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.009752291443,0.003915590694,0.002946311614,0.001182957914
Fang et al. (2024),Acute ischemic stroke,y,PM10,47.3,μg/m3,NA,47.3,0-3,1.0088,1.0006,1.017,NA,NA,33.1,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.008761505669,0.004147269641,0.002646980565,0.001252951553
Fang et al. (2024),Acute ischemic stroke,y,PM10,47.3,μg/m3,NA,47.3,0-8,1.0069,0.9982,1.0155,NA,NA,33.1,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.006876303939,0.004383347955,0.002077433214,0.001324274307
Fang et al. (2024),Acute ischemic stroke,y,PM10,47.3,μg/m3,NA,47.3,0-12,1.0055,0.9963,1.0144,NA,NA,33.1,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.005484930231,0.004592899651,0.00165707862,0.001387582976
Fang et al. (2024),Acute ischemic stroke,y,PM10,47.3,μg/m3,NA,47.3,0-24,0.9999,0.9901,1.0098,NA,NA,33.1,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,-0.0001000050003,0.005025924055,-3.02E-05,0.001518406059
Fang et al. (2024),Acute ischemic stroke,y,PM2.5,33.8,μg/m3,NA,33.8,0-1,1.0074,0.9992,1.0155,NA,NA,27.5,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.007372754329,0.004127913829,0.002681001574,0.001501059574
Fang et al. (2024),Acute ischemic stroke,y,PM2.5,33.8,μg/m3,NA,33.8,0-3,1.0054,0.9972,1.0137,NA,NA,27.5,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.005385472276,0.004186461923,0.001958353555,0.00152234979
Fang et al. (2024),Acute ischemic stroke,y,PM2.5,33.8,μg/m3,NA,33.8,0-8,1.0039,0.9955,1.0125,NA,NA,27.5,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.003892414715,0.004319560071,0.001415423533,0.001570749117
Fang et al. (2024),Acute ischemic stroke,y,PM2.5,33.8,μg/m3,NA,33.8,0-12,1.0029,0.9941,1.0118,NA,NA,27.5,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.002895803112,0.004502142,0.001053019313,0.001637142545
Fang et al. (2024),Acute ischemic stroke,y,PM2.5,33.8,μg/m3,NA,33.8,0-24,0.998,0.9883,1.0078,NA,NA,27.5,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,-0.002002002671,0.004984367567,-0.0007280009712,0.001812497297
Fang et al. (2024),Acute ischemic stroke,y,SO2,7.8,μg/m3,NA,7.8,0-1,1.0244,1.0138,1.0352,NA,NA,4.2,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.02410707534,0.005328825946,0.05739779844,0.01268768082
Fang et al. (2024),Acute ischemic stroke,y,SO2,7.8,μg/m3,NA,7.8,0-3,1.0238,1.0126,1.0351,NA,NA,4.2,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.02352119504,0.005606316289,0.05600284534,0.01334837212
Fang et al. (2024),Acute ischemic stroke,y,SO2,7.8,μg/m3,NA,7.8,0-8,1.0177,1.0052,1.0302,NA,NA,4.2,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.01754517922,0.006266946802,0.04177423623,0.01492130191
Fang et al. (2024),Acute ischemic stroke,y,SO2,7.8,μg/m3,NA,7.8,0-12,1.0147,1.0012,1.028,NA,NA,4.2,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.0145930023,0.006738746545,0.03474524358,0.01604463463
Fang et al. (2024),Acute ischemic stroke,y,SO2,7.8,μg/m3,NA,7.8,0-24,1.0118,0.997,1.0268,NA,NA,4.2,China,Asia,Shanghai Stroke Service System Database,5 (2017-2021),106623,0.651,EHA,OR,Conditional logistic regression,General,Low,,0.01173092288,0.007513183427,0.02793076875,0.01788853197
Gardner et al. (2014),NSTEMI,y,PM2.5,8,μg/m3,NA,8,0,0.93,0.78,1.09,NA,NA,7.1,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),339,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,-0.07257069283,0.085367106,-0.1022122434,0.1202353606
Gardner et al. (2014),NSTEMI,y,PM2.5,8,μg/m3,NA,8,0-11,1,0.85,1.17,NA,NA,6.1,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),338,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0,0.08151088732,0,0.1336244054
Gardner et al. (2014),NSTEMI,y,PM2.5,8,μg/m3,NA,8,0-2,0.93,0.79,1.1,NA,NA,6.8,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),338,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,-0.07257069283,0.08444706973,-0.1067216071,0.1241868672
Gardner et al. (2014),NSTEMI,y,PM2.5,8,μg/m3,NA,8,0-23,1.04,0.88,1.22,NA,NA,5.9,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),335,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.03922071315,0.08333781384,0.06647578501,0.1412505319
Gardner et al. (2014),NSTEMI,y,UFP,5466,particles/cm3,NA,5466,0,0.99,0.9,1.1,NA,NA,4245,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),284,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,-0.01005033585,0.05119150394,-0.02367570284,0.120592471
Gardner et al. (2014),NSTEMI,y,UFP,5466,particles/cm3,NA,5466,0-11,1.04,0.91,1.2,NA,NA,3475,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),284,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.03922071315,0.07056944803,0.1128653616,0.2030775483
Gardner et al. (2014),NSTEMI,y,UFP,5466,particles/cm3,NA,5466,0-2,1.02,0.92,1.13,NA,NA,4159,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),284,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.0198026273,0.05244878614,0.04761391511,0.1261091275
Gardner et al. (2014),NSTEMI,y,UFP,5466,particles/cm3,NA,5466,0-23,1.01,0.86,1.18,NA,NA,3284,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),276,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.009950330853,0.08069829801,0.03029942404,0.2457317235
Gardner et al. (2014),STEMI,n,PM2.5,8,μg/m3,NA,8,0,1.18,1.01,1.38,NA,NA,7.1,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),338,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.1655144385,0.07962580824,0.2331189274,0.1121490257
Gardner et al. (2014),STEMI,n,PM2.5,8,μg/m3,NA,8,0-11,1.12,0.95,1.31,NA,NA,6.1,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),333,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.1133286853,0.08196949786,0.18578473,0.134376226
Gardner et al. (2014),STEMI,n,PM2.5,8,μg/m3,NA,8,0-2,1.15,0.99,1.35,NA,NA,6.8,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),335,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.1397619424,0.07912115518,0.2055322682,0.11635464
Gardner et al. (2014),STEMI,n,PM2.5,8,μg/m3,NA,8,0-23,1.11,0.93,1.32,NA,NA,5.9,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),329,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.1043600153,0.08933735445,0.1768813819,0.1514192448
Gardner et al. (2014),STEMI,n,UFP,5466,particles/cm3,NA,5466,0,1.03,0.95,1.12,NA,NA,4245,USA,America,URMC Cardiac Catheterization Laboratory,4 (2007-2010),270,0.67,EHA,OR,Conditional logistic regression,General,Moderate,,0.02955880224,0.04199540298,0.06963204297,0.09892910008
