fa_year,disease,general,exposure,mean_hourly,unit_original,mean_temp,mean_adjusted,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,country,continent,cohort,fu,n,male_pct,Outcome,Type.of.ES,Statistical.method,Population,RoB,Note,log.EE,log.SE,alog.EE,alog.SE
Berglind et al. (2010),Myocardial infarction,y,NO2,26,μg/m3,NA,26,0-24,0.97,0.85,1.11,NA,NA,12.3,Sweden,Europe,Swedish Onset,2 (1993-1994),654,0.77,EHA,OR,Conditional logistic regression,44-70 years,Low,,-0.03045920748,0.06808136348,-0.02476358332,0.05535070201
Berglind et al. (2010),Myocardial infarction,y,O3,56.8,μg/m3,NA,56.8,0-2,1.02,0.85,1.23,NA,NA,29.6,Sweden,Europe,Swedish Onset,2 (1993-1994),629,0.77,EHA,OR,Conditional logistic regression,44-70 years,Low,,0.0198026273,0.09426864767,0.006690076789,0.03184751611
Berglind et al. (2010),Myocardial infarction,y,O3,56.8,μg/m3,NA,56.8,0-24,0.92,0.75,1.13,NA,NA,24.7,Sweden,Europe,Swedish Onset,2 (1993-1994),631,0.77,EHA,OR,Conditional logistic regression,44-70 years,Low,,-0.08338160894,0.1045662513,-0.03375773641,0.0423345147
Berglind et al. (2010),Myocardial infarction,y,PM10,18.2,μg/m3,NA,18.2,0-2,0.93,0.81,1.08,NA,NA,12.2,Sweden,Europe,Swedish Onset,1 (1994),342,0.77,EHA,OR,Conditional logistic regression,44-70 years,Low,,-0.07257069283,0.07338828379,-0.05948417445,0.06015433097
Berglind et al. (2010),Myocardial infarction,y,PM10,18.2,μg/m3,NA,18.2,0-24,0.99,0.85,1.15,NA,NA,9.1,Sweden,Europe,Swedish Onset,1 (1994),341,0.77,EHA,OR,Conditional logistic regression,44-70 years,Low,,-0.01005033585,0.07711246731,-0.01104432511,0.08473897507
Bhaskaran et al. (2011),Myocardial infarction,y,CO,0.3,mg/m3,NA,0.3,13-18,0.997,0.991,1.003,NA,NA,0.1,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.00300450902,0.003070472865,-0.00300450902,0.003070472865
Bhaskaran et al. (2011),Myocardial infarction,y,CO,0.3,mg/m3,NA,0.3,1-6,1.002,0.997,1.007,NA,NA,0.1,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0.001998002663,0.002545949683,0.001998002663,0.002545949683
Bhaskaran et al. (2011),Myocardial infarction,y,CO,0.3,mg/m3,NA,0.3,19-24,0.998,0.993,1.004,NA,NA,0.1,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.002002002671,0.002810366379,-0.002002002671,0.002810366379
Bhaskaran et al. (2011),Myocardial infarction,y,CO,0.3,mg/m3,NA,0.3,7-12,1.001,0.994,1.007,NA,NA,0.1,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0.0009995003331,0.003314715832,0.0009995003331,0.003314715832
Bhaskaran et al. (2011),Myocardial infarction,y,NO2,31,μg/m3,NA,31,13-18,0.999,0.99,1.008,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,-0.001000500334,0.004596557526,-0.001000500334,0.004596557526
