"","fa_year","disease","general","exposure","mean_hourly","unit_original","mean_temp","mean_adjusted","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","continent","country","cohort","fu","n","population","incidence","male_pct","Molecular.weight","Type.of.ES","Statistical.method","Population","Outcome","RoB","Note","log.EE","log.SE","alog.EE","alog.SE"
"26","Cheng et al. (2021b)","Acute bronchiolitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"2-6",0.99,0.802,1.223,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3736,"444412",0.002802204561,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0100503358535015,0.107641206076698,-0.00357663197633504,0.0383064790308535
"27","Cheng et al. (2021b)","Acute bronchiolitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"7-12",0.944,0.755,1.18,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3736,"444412",0.002802204561,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0576291128366364,0.113916318421093,-0.0205085810806535,0.0405396150964745
"28","Cheng et al. (2021b)","Acute bronchiolitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"13-24",0.843,0.633,1.123,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3736,"444412",0.002802204561,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.170788320980282,0.146247074641395,-0.060778761914691,0.0520452222923113
"29","Cheng et al. (2021b)","Acute bronchiolitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"1",0.956,0.824,1.11,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3736,"444412",0.002802204561,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0449973659307358,0.0760063174481909,-0.0288444653402153,0.0487219983642249
"30","Cheng et al. (2021b)","Acute bronchiolitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"2-6",0.898,0.732,1.103,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3736,"444412",0.002802204561,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.107585210679937,0.10459400645209,-0.0689648786409855,0.0670474400333907
"31","Cheng et al. (2021b)","Acute bronchiolitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"7-12",0.915,0.739,1.132,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3736,"444412",0.002802204561,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0888312137066157,0.108786565769114,-0.056943085709369,0.0697349780571243
"32","Cheng et al. (2021b)","Acute bronchiolitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"13-24",0.88,0.674,1.15,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3736,"444412",0.002802204561,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.127833371509885,0.136297732256375,-0.0819444689165929,0.0873703411899837
"33","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","NO2",4,"μg/m3",NA,4,"1",0.965,0.815,1.142,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0356271776431512,0.0860582339222176,-0.0197928764684173,0.0478101299567875
"34","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","NO2",4,"μg/m3",NA,4,"2-6",1.048,0.837,1.312,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0468835858988505,0.114664259952694,0.0260464366104725,0.0637023666403854
"35","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","NO2",4,"μg/m3",NA,4,"7-12",0.928,0.69,1.247,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0747235461959364,0.150970496961411,-0.0415130812199647,0.0838724983118951
"36","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","NO2",4,"μg/m3",NA,4,"13-24",1.365,0.951,1.96,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.311154428636923,0.18448614532632,0.172863571464957,0.102492302959066
"37","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","O3",17,"μg/m3",NA,17,"1",0.962,0.806,1.148,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0387408283164306,0.0902277638706335,-0.0101949548201133,0.0237441483870088
"38","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","O3",17,"μg/m3",NA,17,"2-6",1.04,0.842,1.284,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0392207131532813,0.107641701532546,0.0103212403034951,0.0283267635611963
"39","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","O3",17,"μg/m3",NA,17,"7-12",1.124,0.908,1.392,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.116893751471499,0.108992975074763,0.0307615135451314,0.0286823618617798
"40","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","O3",17,"μg/m3",NA,17,"13-24",1.179,0.852,1.632,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.164666621555234,0.165809951197637,0.0433333214619037,0.0436341976835886
"41","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"1",0.829,0.725,0.947,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.187535123846842,0.0681447546763784,-0.0667384782373104,0.0242508023759354
"42","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"2-6",0.861,0.721,1.029,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.149660774554406,0.0907407139155869,-0.0532600621190058,0.0322920690091056
"43","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"7-12",0.894,0.739,1.082,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.112049503808623,0.0972623822597513,-0.0398752682592964,0.034612947423399
"44","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"13-24",0.921,0.728,1.166,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0822952427268302,0.120161560896365,-0.0292865632479823,0.0427621213154325
"45","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"1",0.889,0.784,1.008,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.117658043468232,0.0641108235410475,-0.0754218227360465,0.0410966817570817
"46","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"2-6",0.909,0.766,1.08,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0954101848046582,0.0876362628514475,-0.0611603748747809,0.0561770915714407
"47","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"7-12",0.928,0.772,1.116,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.0747235461959364,0.0940106104378776,-0.0478997090999592,0.0602632118191523
"48","Cheng et al. (2021b)","Acute bronchitis","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"13-24",1.021,0.82,1.27,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",5298,"444412",0.003973790087,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0207825391825284,0.111598938569984,0.0133221405016208,0.0715377811346053
